categoria,tituloLibro,autorLibro,formato,precio,estatus,separador
Literatura,Literatura 1,Homero,Medio (PM),2000,Disponible,
Literatura,Literatura 2,Homer S,Largo (PL),3200,Disponible,
Literatura,Literatura 3,Homero,Medio (PM),2000,Disponible,
Literatura,Literatura 4,Homero,Medio (PM),2000,Disponible,
Literatura,Literatura 5,Homer S,Largo (PL),3200,Disponible,
Literatura,Literatura 6,Homero,Medio (PM),2000,Agotado,
Literatura,Literatura 7,Homero,Especial Extra Pequeno (XPS),2000,Disponible,
Literatura,Literatura 8,Homer S,Largo (PL),3200,Disponible,
Literatura,Literatura 9,Homero,Medio (PM),2000,Disponible,
Literatura,Literatura 10,Homero,Especial Dwarsligger(DXS),2000,Disponible,
