categoria,tituloLibro,autorLibro,formato,precio,estatus,separador
SuperacionPersonal,Superacion 1,Homero,Medio (PM),2000,Disponible,
SuperacionPersonal,Superacion 2,Homer S,Largo (PL),3200,Disponible,
SuperacionPersonal,Superacion 3,Homero,Medio (PM),2000,Disponible,
SuperacionPersonal,Superacion 4,Homero,Medio (PM),2000,Disponible,
SuperacionPersonal,Superacion 5,Homer S,Largo (PL),3200,Disponible,
SuperacionPersonal,Superacion 6,Homero,Medio (PM),2000,Disponible,
SuperacionPersonal,Superacion 7,Homero,Especial Extra Pequeno (XPS),2000,Disponible,
SuperacionPersonal,Superacion 8,Homer S,Largo (PL),3200,Disponible,
SuperacionPersonal,Superacion 9,Homero,Medio (PM),2000,Disponible,
SuperacionPersonal,Superacion 10,Homero,Especial Dwarsligger(DXS),2000,Disponible,
