categoria,tituloLibro,autorLibro,formato,precio,estatus,separador,imagen
Educativos,Educa 1,Marco Picado,Medio (PM),1500,Agotado,,homero.jpg
Educativos,Educa 2,Marco Picado,Medio (PM),1500,Agotado,,homero.jpg
Educativos,Educa 3,Marco Picado,Medio (PM),1500,Agotado,,homero.jpg
Educativos,Educa 4,Marco Picado,Medio (PM),3000,Disponible,,homero.jpg
Educativos,Educa 5,Marco Picado,Medio (PM),1500,Agotado,,homero.jpg
Educativos,Educa 6,Homero,Medio (PM),4000,Disponible,,homero.jpg
Educativos,Educa 7,Marco Picado,Medio (PM),1500,Agotado,,homero.jpg
Educativos,Educa 8,Marco Picado,Medio (PM),1500,Agotado,,homero.jpg
Educativos,Educa 9,Homero,Medio (PM),3000,Disponible,,homero.jpg
Educativos,Educa 10,Homero,Medio (PM),3000,Disponible,,homero.jpg
